"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Xavier Cedeno","Cubs","0","0","0.00","5","0","0","0","0","0","0","2.0","13","4","0","0","0","3","1","0","0","0","1","36"
"CC Sabathia","Yankees","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","404"
"Tommy Hunter","Phillies","0","0","0.00","5","0","0","0","0","1","0","5.1","18","2","0","0","0","0","0","0","0","0","5","1157"
"Clayton Kershaw","Dodgers","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","2036"
"Jhoulys Chacin","Red Sox","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","2608"
"Charlie Culberson","Braves","0","0","0.00","2","0","0","0","0","0","0","2.0","10","2","0","0","0","2","0","0","1","0","1","3298"
"Edinson Volquez","Rangers","0","0","0.00","7","0","0","0","0","1","0","6.2","23","4","0","0","0","2","0","0","0","0","4","3990"
"Russell Martin","Dodgers","0","0","0.00","4","0","0","0","0","0","0","4.0","13","2","0","0","0","0","0","0","0","0","2","4616"
"Pablo Sandoval","Giants","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","1","0","0","0","5409"
"Jesus Sucre","Orioles","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","5942"
"Ian Kinsler","Padres","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","0","0","0","2","0","1","0","0","0","6195"
"Dellin Betances","Yankees","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","2","6216"
"Sean Rodriguez","Phillies","0","0","0.00","2","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","1","6589"
"JB Shuck","Pirates","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","0","6677"
"Ian Desmond","Rockies","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","6885"
"Caleb Joseph","Diamondbacks","0","0","0.00","2","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","0","7087"
"Ben Zobrist","Cubs","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","1","7435"
