Gm#,Date,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 28,TEX,,CHC,L,4,12,,0-1,3,2,Lester,Minor,,3:07,D,48538,-,
2,Saturday Mar 30,TEX,,CHC,W,8,6,,1-Jan,2,1.5,Kelley,Edwards,Leclerc,3:47,N,46238,+,
3,Sunday Mar 31,TEX,,CHC,W-wo,11,10,,1-Feb,2,1.5,Leclerc,Strop,,3:46,D,36812,++,
4,Monday Apr 1,TEX,,HOU,L,1,2,,2-Feb,3,2.5,Peacock,Sampson,Osuna,2:39,N,18056,-,
5,Tuesday Apr 2,TEX,,HOU,W,6,4,,2-Mar,3,2.5,Kelley,Valdez,Leclerc,3:23,N,17907,+,
6,Wednesday Apr 3,TEX,,HOU,W,4,0,,2-Apr,2,2,Minor,Cole,,2:39,N,22265,++,
7,Thursday Apr 4,TEX,@,LAA,W,11,4,,2-May,2,1.5,Springs,Harvey,,3:49,N,42027,+++,
8,Friday Apr 5,TEX,@,LAA,L,1,3,,3-May,2,1.5,Anderson,Lynn,Allen,2:52,N,41089,-,
9,Saturday Apr 6,TEX,@,LAA,L,1,5,,4-May,2,2.5,Skaggs,Smyly,,3:22,D,31747,--,
10,Sunday Apr 7,TEX,@,LAA,L,2,7,,5-May,2,3.5,Anderson,Miller,,3:30,D,42076,---,
11,Tuesday Apr 9,TEX,@,ARI,L-wo,4,5,,6-May,4,5,Andriese,Leclerc,,2:48,N,16620,----,
12,Wednesday Apr 10,TEX,@,ARI,W,5,2,,6-Jun,4,5,Lynn,Chafin,Bird,3:35,N,15871,+,
13,Friday Apr 12,TEX,,OAK,L,6,8,,7-Jun,5,5.5,Trivino,Martin,Treinen,3:16,N,24817,-,
14,Sunday Apr 14,TEX,,OAK,W,8,7,,7-Jul,5,4,Springs,Soria,Leclerc,3:05,D,26350,+,
15,Monday Apr 15,TEX,,LAA,W,12,7,,7-Aug,3,3,Dowdy,Bedrosian,Leclerc,3:26,N,18265,++,
16,Tuesday Apr 16,TEX,,LAA,W,5,0,,7-Sep,3,2.5,Minor,Barria,,2:31,N,17704,+++,
17,Wednesday Apr 17,TEX,,LAA,W,5,4,,7-Oct,3,1.5,Lynn,Harvey,Leclerc,3:19,N,16691,++++,
18,Friday Apr 19,TEX,,HOU,L,2,7,,8-Oct,3,2.5,Verlander,Smyly,,3:16,N,35649,-,
19,Saturday Apr 20,TEX,,HOU,W,9,4,,8-Nov,3,2.5,Kelley,Cole,,2:51,N,39636,+,
20,Sunday Apr 21,TEX,,HOU,W,11,10,,8-Dec,3,1.5,Miller,McHugh,Kelley,3:16,D,26225,++,
21,Monday Apr 22,TEX,@,OAK,L,1,6,,9-Dec,3,2,Bassitt,Minor,,2:48,N,8073,-,
22,Tuesday Apr 23,TEX,@,OAK,L,5,11,,10-Dec,3,2,Montas,Lynn,,3:17,N,10496,--,
23,Wednesday Apr 24,TEX,@,OAK,L-wo,5,6,,11-Dec,3,2.5,Treinen,Martin,,3:22,D,18610,---,
24,Thursday Apr 25,TEX,@,SEA,L,2,14,,12-Dec,4,3,Gonzales,Hearn,,3:25,N,12649,----,
25,Friday Apr 26,TEX,@,SEA,L-wo,4,5,11,13-Dec,4,4,Elias,Dowdy,,4:06,N,21719,-----,
26,Saturday Apr 27,TEX,@,SEA,W,15,1,,13-13,3,3,Minor,Leake,,3:11,N,26495,+,
27,Sunday Apr 28,TEX,@,SEA,W,14,1,,14-13,3,2.5,Lynn,Swanson,,3:10,D,21513,++,
28,Tuesday Apr 30,TEX,,PIT,L,4,6,11,14-14,3,3,Crick,Chavez,Vazquez,4:14,N,18641,-,
29,Wednesday May 1,TEX,,PIT,L,5,7,,14-15,3,3,Taillon,Miller,Vazquez,3:10,D,23562,--,
30,Friday May 3,TEX,,TOR,L,0,1,12,14-16,3,3,Hudson,Jurado,Giles,4:00,N,26179,---,
31,Saturday May 4,TEX,,TOR,W,8,5,,15-16,3,3,Lynn,Pannone,Kelley,2:59,N,31787,+,
32,Sunday May 5,TEX,,TOR,W,10,2,,16-16,3,3,Dowdy,Buchholz,,2:50,D,30934,++,
33,Tuesday May 7,TEX,@,PIT,L,4,5,,16-17,3,3.5,Feliz,Sampson,Vazquez,2:50,N,13032,-,
34,Wednesday May 8,TEX,@,PIT,W,9,6,,17-17,3,3.5,Jurado,Lyons,Martin,3:18,D,13905,+,
35,Thursday May 9,TEX,@,HOU,L,2,4,,17-18,3,4.5,Miley,Minor,Osuna,2:58,N,26657,-,
36,Friday May 10,TEX,@,HOU,L,0,3,,17-19,3,5.5,Verlander,Lynn,Osuna,2:29,N,33023,--,
37,Saturday May 11,TEX,@,HOU,L,4,11,,17-20,4,6.5,Cole,Smyly,,3:15,N,35849,---,
38,Sunday May 12,TEX,@,HOU,L,5,15,,17-21,4,7.5,Martin,Sampson,,3:08,D,41027,----,
39,Tuesday May 14,TEX,@,KCR,L,5,11,,17-22,4,9,Duffy,Miller,,3:24,N,19410,-----,
40,Wednesday May 15,TEX,@,KCR,W,6,1,,18-22,4,9,Minor,Lopez,,3:24,N,14572,+,
41,Thursday May 16,TEX,@,KCR,W,16,1,,19-22,3,8.5,Lynn,Bailey,,3:14,D,17469,++,
42,Friday May 17,TEX,,STL,W,7,3,,20-22,2,8.5,Sampson,Mikolas,,2:59,N,34398,+++,
43,Saturday May 18,TEX,,STL,L,2,8,,20-23,3,9.5,Hudson,Jurado,,3:14,N,30967,-,
44,Sunday May 19,TEX,,STL,W-wo,5,4,10,21-23,2,8.5,Gomez,Hicks,,3:41,D,32112,+,
45,Monday May 20,TEX,,SEA,W,10,9,,22-23,2,8.5,Minor,Leake,,2:53,N,18796,++,
46,Tuesday May 21,TEX,,SEA,W,5,3,,23-23,2,8.5,Lynn,Milone,Kelley,2:56,N,19157,+++,
47,Wednesday May 22,TEX,,SEA,W,2,1,,24-23,2,7.5,Sampson,Gonzales,Kelley,2:27,D,22400,++++,
48,Friday May 24,TEX,@,LAA,W,4,3,,25-23,2,7,Smyly,Bedrosian,Kelley,3:13,N,43806,+++++,
49,Saturday May 25,TEX,@,LAA,L-wo,2,3,,25-24,3,8,Robles,Kelley,,3:11,N,36392,-,
50,Sunday May 26,TEX,@,LAA,L,6,7,,25-25,3,8,Garcia,Springs,Anderson,3:27,D,39406,--,
51,Monday May 27,TEX,@,SEA,L,2,6,,25-26,3,9,Milone,Lynn,,3:14,N,14086,---,
52,Tuesday May 28,TEX,@,SEA,W,11,4,,26-26,3,9,Sampson,Gonzales,,3:17,N,12287,+,
53,Wednesday May 29,TEX,@,SEA,W,8,7,,27-26,3,8,Chavez,Bass,Kelley,3:20,D,16060,++,
54,Thursday May 30,TEX,,KCR,L,2,4,,27-27,3,8.5,Junis,Minor,Kennedy,3:06,N,26202,-,
55,Friday May 31,TEX,,KCR,W,6,2,,28-27,3,8.5,Jurado,Duffy,,2:36,N,31183,+,
56,Saturday Jun 1,TEX,,KCR,W,6,2,,29-27,2,8.5,Lynn,Bailey,,3:08,D,27133,++,
57,Sunday Jun 2,TEX,,KCR,W,5,1,,30-27,2,8.5,Sampson,Keller,,2:38,D,21891,+++,
58,Tuesday Jun 4,TEX,,BAL,L,11,12,,30-28,2,10,Bundy,Smyly,Givens,3:42,N,21903,-,
59,Wednesday Jun 5,TEX,,BAL,W-wo,2,1,12,31-28,2,9,Springs,Fry,,4:18,N,21163,+,
60,Thursday Jun 6,TEX,,BAL,W,4,3,,32-28,2,9,Jurado,Hess,Kelley,2:29,N,20462,++,
61,Friday Jun 7,TEX,,OAK,L,3,5,,32-29,2,10,Petit,Leclerc,Treinen,3:09,N,25120,-,
62,Saturday Jun 8 (1),TEX,,OAK,W,10,5,,33-29,2,8.5,Springs,Blackburn,,3:12,D,22327,+,2019-04-13 (Rain)
63,Saturday Jun 8 (2),TEX,,OAK,W,3,1,,34-29,2,8.5,Sampson,Bassitt,,2:45,N,39514,++,
64,Sunday Jun 9,TEX,,OAK,L,8,9,,34-30,2,9.5,Montas,Smyly,Treinen,3:25,D,20358,-,
65,Monday Jun 10,TEX,@,BOS,W,4,3,11,35-30,2,9,Chavez,Brasier,Martin,3:25,N,34422,+,
66,Tuesday Jun 11,TEX,@,BOS,W,9,5,,36-30,2,9,Jurado,Hernandez,,3:40,N,35121,++,
67,Wednesday Jun 12,TEX,@,BOS,L-wo,3,4,,36-31,2,9,Barnes,Chavez,,2:54,D,34330,-,
68,Thursday Jun 13,TEX,@,BOS,L,6,7,,36-32,2,9.5,Workman,Fairbanks,Smith,4:06,N,35841,--,
69,Friday Jun 14,TEX,@,CIN,W,7,1,,37-32,2,9.5,Martin,Mahle,Smyly,3:08,N,30090,+,
70,Saturday Jun 15,TEX,@,CIN,W,4,3,,38-32,2,9.5,Minor,Roark,Kelley,2:39,N,25693,++,
71,Sunday Jun 16,TEX,@,CIN,L,3,11,,38-33,2,9.5,Gray,Jurado,,3:21,D,24079,-,
72,Monday Jun 17,TEX,,CLE,W,7,2,,39-33,2,8.5,Lynn,Clevinger,,2:52,N,20860,+,
73,Tuesday Jun 18,TEX,,CLE,L,3,10,,39-34,2,8.5,Plesac,Sampson,,3:13,N,19223,-,
74,Wednesday Jun 19,TEX,,CLE,L,4,10,,39-35,2,8.5,Perez,Palumbo,,3:17,N,22906,--,
75,Thursday Jun 20,TEX,,CLE,W,4,2,,40-35,2,7.5,Minor,Bieber,Kelley,2:35,D,18531,+,
76,Friday Jun 21,TEX,,CHW,L,4,5,10,40-36,2,7.5,Herrera,Kelley,Colome,3:23,N,29333,-,
77,Saturday Jun 22,TEX,,CHW,W,6,5,,41-36,2,6.5,Lynn,Marshall,Martin,3:04,N,33582,+,
78,Sunday Jun 23,TEX,,CHW,W,7,4,,42-36,2,6.5,Sampson,Nova,Kelley,3:07,D,21917,++,
79,Tuesday Jun 25,TEX,@,DET,W,5,3,,43-36,2,6.5,Chavez,Zimmermann,,2:47,N,18952,+++,
80,Wednesday Jun 26,TEX,@,DET,W,4,1,,44-36,2,5.5,Minor,Boyd,,2:19,N,19732,++++,
81,Thursday Jun 27,TEX,@,DET,W,3,1,,45-36,2,4.5,Jurado,Turnbull,Kelley,2:52,D,22925,+++++,
82,Friday Jun 28,TEX,@,TBR,W,5,0,,46-36,2,4.5,Lynn,Chirinos,,2:48,N,13955,++++++,
83,Saturday Jun 29,TEX,@,TBR,L,2,5,,46-37,2,5.5,McKay,Sampson,,2:56,D,16655,-,
84,Sunday Jun 30,TEX,@,TBR,L,2,6,,46-38,2,6.5,Snell,Chavez,,2:28,D,11234,--,
85,Tuesday Jul 2,TEX,,LAA,L,4,9,,46-39,3,7.5,Cahill,Fairbanks,,4:12,N,20931,---,
86,Wednesday Jul 3,TEX,,LAA,L,2,6,,46-40,3,8.5,Barria,Jurado,,2:55,N,28998,----,
87,Thursday Jul 4,TEX,,LAA,W,9,3,,47-40,3,8,Lynn,Canning,,3:27,N,45556,+,
88,Friday Jul 5,TEX,@,MIN,L,6,15,,47-41,3,8,Perez,Sampson,,3:02,N,38073,-,
89,Saturday Jul 6,TEX,@,MIN,L,4,7,,47-42,3,9,Pineda,Chavez,Rogers,3:12,D,36969,--,
90,Sunday Jul 7,TEX,@,MIN,W,4,1,11,48-42,3,9,Kelley,Mejia,,4:15,D,35495,+,
91,Thursday Jul 11,TEX,,HOU,W,5,0,,49-42,3,8,Lynn,Valdez,,3:02,N,37964,++,
92,Friday Jul 12,TEX,,HOU,W-wo,9,8,,50-42,3,7,Kelley,Osuna,,3:07,N,32322,+++,
93,Saturday Jul 13,TEX,,HOU,L,6,7,11,50-43,3,8,James,Martin,Osuna,4:09,N,42452,-,
94,Sunday Jul 14,TEX,,HOU,L,4,12,,50-44,3,9,Verlander,Jurado,,3:40,D,27916,--,
95,Tuesday Jul 16,TEX,,ARI,L,2,9,,50-45,3,8.5,Young,Lynn,,3:23,N,19202,---,
96,Wednesday Jul 17,TEX,,ARI,L,4,19,,50-46,3,9.5,Ray,Chavez,,3:14,N,26681,----,
97,Friday Jul 19,TEX,@,HOU,L,3,4,,50-47,3,11,Verlander,Minor,Osuna,2:59,N,42287,-----,
98,Saturday Jul 20,TEX,@,HOU,L,1,6,,50-48,3,12,Urquidy,Jurado,,2:25,N,41643,------,
99,Sunday Jul 21,TEX,@,HOU,L,3,5,,50-49,4,13,Armenteros,Lynn,Osuna,3:08,D,37655,-------,
100,Monday Jul 22,TEX,@,SEA,L,3,7,,50-50,4,14,Gonzales,Sampson,Elias,2:50,N,16110,--------,
101,Tuesday Jul 23,TEX,@,SEA,W,7,2,,51-50,4,13,Payano,Milone,,2:39,N,15536,+,
102,Wednesday Jul 24,TEX,@,SEA,L,3,5,,51-51,4,14,Leake,Minor,Elias,2:25,D,28145,-,
103,Thursday Jul 25,TEX,@,OAK,W,11,3,,52-51,4,13.5,Jurado,Anderson,,2:45,N,11854,+,
104,Friday Jul 26,TEX,@,OAK,W,5,2,,53-51,4,12.5,Lynn,Mengden,Martin,3:24,N,14952,++,
105,Saturday Jul 27,TEX,@,OAK,L,4,5,,53-52,4,13.5,Bailey,Sampson,Hendriks,2:51,N,36468,-,
106,Sunday Jul 28,TEX,@,OAK,L-wo,5,6,,53-53,4,14.5,Treinen,Leclerc,,3:38,D,18906,--,
107,Tuesday Jul 30,TEX,,SEA,L,5,8,,53-54,4,15.5,Tuivailala,Martin,Elias,3:16,N,20599,---,
108,Wednesday Jul 31,TEX,,SEA,W,9,7,,54-54,4,14.5,Minor,LeBlanc,Chavez,3:26,N,22539,+,
109,Friday Aug 2,TEX,,DET,W,5,4,,55-54,3,15,Lynn,Alexander,Leclerc,2:52,N,26884,++,
110,Saturday Aug 3,TEX,,DET,W-wo,5,4,10,56-54,3,15,Leclerc,Ramirez,,3:35,N,30292,+++,
111,Sunday Aug 4,TEX,,DET,W,9,4,,57-54,3,15,Montero,Cisnero,,3:27,D,18531,++++,
112,Monday Aug 5,TEX,@,CLE,W,1,0,,58-54,3,14.5,Minor,Civale,Leclerc,2:49,N,17690,+++++,
113,Wednesday Aug 7 (1),TEX,@,CLE,L,0,2,,58-55,3,16.5,Goody,Jurado,Hand,2:32,D,,-,2019-08-06 (Inclement Weather)
114,Wednesday Aug 7 (2),TEX,@,CLE,L,1,5,,58-56,3,16.5,Cole,Lynn,Wittgren,2:55,D,24888,--,
115,Friday Aug 9,TEX,@,MIL,L-wo,5,6,,58-57,3,17.5,Hader,Clase,,4:01,N,35294,---,
116,Saturday Aug 10,TEX,@,MIL,L,2,3,,58-58,3,18.5,Houser,Payano,Albers,3:09,N,41903,----,
117,Sunday Aug 11,TEX,@,MIL,W,1,0,,59-58,3,17.5,Minor,Lyles,Leclerc,2:28,D,44411,+,
118,Monday Aug 12,TEX,@,TOR,L,4,19,,59-59,3,18,Stewart,Jurado,,3:02,N,16492,-,
119,Tuesday Aug 13,TEX,@,TOR,L,0,3,,59-60,3,18.5,Pannone,Lynn,Giles,2:48,N,22958,--,
120,Wednesday Aug 14,TEX,@,TOR,W,7,3,,60-60,3,17.5,Allard,Reid-Foley,,3:22,D,34666,+,
121,Thursday Aug 15,TEX,,MIN,L,6,13,,60-61,3,17.5,Pineda,Payano,Smeltzer,3:18,N,20494,-,
122,Friday Aug 16,TEX,,MIN,L,3,4,,60-62,3,17.5,Duffey,Minor,Romo,3:12,N,24742,--,
123,Saturday Aug 17,TEX,,MIN,L,7,12,,60-63,3,17.5,Duffey,Jurado,,3:30,N,30136,---,
124,Sunday Aug 18,TEX,,MIN,L,3,6,,60-64,4,18.5,Dyson,Clase,Rogers,3:49,D,18500,----,
125,Monday Aug 19,TEX,,LAA,W-wo,8,7,11,61-64,3,18.5,Montero,Ramirez,,4:35,N,17326,+,
126,Tuesday Aug 20 (1),TEX,,LAA,L,1,5,,61-65,3,19,Heaney,Palumbo,,2:48,D,17429,-,2019-07-01 (Death of Tyler Skaggs)
127,Tuesday Aug 20 (2),TEX,,LAA,W-wo,3,2,11,62-65,3,19,Clase,Buttrey,,3:36,N,15638,+,
128,Wednesday Aug 21,TEX,,LAA,W-wo,8,7,,63-65,3,18,Hernandez,Cahill,,3:46,N,19565,++,
129,Thursday Aug 22,TEX,@,CHW,L,1,6,,63-66,3,19,Detwiler,Jurado,,2:29,N,18563,-,
130,Friday Aug 23,TEX,@,CHW,L,3,8,,63-67,3,20,Cease,Lynn,,2:50,N,27016,--,
131,Saturday Aug 24,TEX,@,CHW,W,4,0,,64-67,3,20,Allard,Nova,,3:06,N,26454,+,
132,Sunday Aug 25,TEX,@,CHW,L,0,2,,64-68,3,21,Lopez,Burke,Colome,2:57,D,25553,-,
133,Tuesday Aug 27,TEX,@,LAA,L,2,5,,64-69,3,22,Del Pozo,Minor,Robles,2:48,N,39008,--,
134,Wednesday Aug 28,TEX,@,LAA,W,3,0,,65-69,3,22,Jurado,Del Pozo,Leclerc,2:55,N,37535,+,
135,Thursday Aug 29,TEX,,SEA,L,3,5,,65-70,3,22,Magill,Leclerc,,3:09,N,16591,-,
136,Friday Aug 30,TEX,,SEA,W,6,3,,66-70,3,22,Allard,Gonzales,Clase,2:45,N,23563,+,
137,Saturday Aug 31,TEX,,SEA,W-wo,3,2,,67-70,3,21,Clase,Magill,,2:49,N,33668,++,
138,Sunday Sep 1,TEX,,SEA,L,3,11,,67-71,3,22,Kikuchi,Martin,,3:39,D,22116,-,
139,Monday Sep 2,TEX,@,NYY,W,7,0,,68-71,3,22,Minor,Tanaka,,3:04,D,40015,+,
140,Tuesday Sep 3,TEX,@,NYY,L,1,10,,68-72,3,22,Paxton,Volquez,,2:36,N,33711,-,
141,Wednesday Sep 4,TEX,@,NYY,L,1,4,,68-73,3,22.5,Cessa,Lynn,,3:05,N,36082,--,
142,Thursday Sep 5,TEX,@,BAL,W,3,1,,69-73,3,22.5,Allard,Means,Leclerc,2:35,N,8209,+,
143,Friday Sep 6,TEX,@,BAL,W,7,6,,70-73,3,22.5,Martin,Fry,Leclerc,3:03,N,10596,++,
144,Saturday Sep 7,TEX,@,BAL,W,9,4,,71-73,3,22.5,Mendez,Brooks,,3:11,N,11796,+++,
145,Sunday Sep 8,TEX,@,BAL,W,10,4,,72-73,3,22.5,Minor,Wojciechowski,,3:20,D,16142,++++,
146,Tuesday Sep 10,TEX,,TBR,L,3,5,11,72-74,3,23,Pagan,Clase,Fairbanks,3:45,N,18467,-,
147,Wednesday Sep 11,TEX,,TBR,W,10,9,,73-74,3,22,Gibaut,Poche,Leclerc,4:09,N,19746,+,
148,Thursday Sep 12,TEX,,TBR,W,6,4,,74-74,3,21,Farrell,McKay,Leclerc,3:16,N,18222,++,
149,Friday Sep 13,TEX,,OAK,L,9,14,,74-75,3,22,Wendelken,Gibaut,,3:28,N,27813,-,
150,Saturday Sep 14,TEX,,OAK,L,6,8,,74-76,3,23,Buchter,Minor,Hendriks,3:47,N,31928,--,
151,Sunday Sep 15,TEX,,OAK,L,1,6,,74-77,3,24,Manaea,Hernandez,Luzardo,3:10,D,26064,---,
152,Tuesday Sep 17,TEX,@,HOU,L,1,4,,74-78,3,25,Verlander,Lynn,Osuna,2:45,N,39650,----,
153,Wednesday Sep 18,TEX,@,HOU,L,2,3,,74-79,3,26,Cole,Allard,Osuna,2:35,N,38417,-----,
154,Friday Sep 20,TEX,@,OAK,L,0,8,,74-80,3,27,Fiers,Minor,,2:38,N,29579,------,
155,Saturday Sep 21,TEX,@,OAK,L,3,12,,74-81,3,27,Manaea,Burke,,3:17,N,29896,-------,
156,Sunday Sep 22,TEX,@,OAK,W,8,3,,75-81,3,27,Lynn,Roark,,3:15,D,38453,+,
157,Tuesday Sep 24,TEX,,BOS,L,10,12,,75-82,3,28,Rodriguez,Jurado,Workman,3:59,N,23341,-,
158,Wednesday Sep 25,TEX,,BOS,L,3,10,,75-83,3,29,Porcello,Allard,,3:18,N,29290,--,
159,Thursday Sep 26,TEX,,BOS,W,7,5,,76-83,3,28,Minor,Weber,Leclerc,3:02,D,24612,+,
160,Friday Sep 27,TEX,,NYY,L,7,14,,76-84,3,29,Tarpley,Palumbo,,3:37,N,35168,-,
161,Saturday Sep 28,TEX,,NYY,W,9,4,,77-84,3,29,Hernandez,Severino,,3:17,N,42870,+,
162,Sunday Sep 29,TEX,,NYY,W,6,1,,78-84,3,29,Lynn,Tanaka,,2:47,D,47144,++,
