Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,LHH_OPS,LHH_HR/9,LHH_SO/BB,LHH_ERA,LHH_WHIP
Fernando Rodney,494,2 Tms,24.1,108,5.1781,27,2,0,14,14,3,14,1,0,25,0.287234042,0.379629629,0.404255319,0.339786216,0.783884948,1.12033195,1.785714286,5.1781,1.701244813
Adam Ottavino,1247,NYY,21.1,97,2.9531,19,3,0,8,7,3,15,3,1,21,0.240506329,0.360824742,0.392405063,0.316768568,0.753229805,1.279620853,1.4,2.9531,1.611374408
Oliver Perez,1514,CLE,23.1,95,1.5429,18,2,0,4,4,3,7,0,1,26,0.206896551,0.27368421,0.333333333,0.26429588,0.607017543,1.168831169,3.714285714,1.5429,1.082251082
Sean Doolittle,1581,WSN,20.1,80,2.6557,17,3,3,6,6,2,2,0,0,23,0.22077922,0.240506329,0.415584415,0.269913487,0.656090744,0.895522388,11.5,2.6557,0.945273632
Hector Rondon,2391,HOU,26.1,104,4.1013,19,6,0,12,12,6,8,0,3,20,0.204301075,0.288461538,0.462365591,0.314465927,0.750827129,2.068965517,2.5,4.1013,1.034482759
Luis Avilan,2882,NYM,15.2,54,2.2979,5,1,0,4,4,1,5,0,0,17,0.102040816,0.185185185,0.183673469,0.170675826,0.368858654,0.592105263,3.4,2.2979,0.657894737
Kenley Jansen,3096,LAD,34,141,3.4412,26,8,0,14,13,5,9,0,1,39,0.198473282,0.255319148,0.374045801,0.267147199,0.629364949,1.323529412,4.333333333,3.4412,1.029411765
Tony Watson,3132,SFG,14,71,6.4286,23,3,0,11,10,2,5,0,1,9,0.359375,0.414285714,0.5,0.39075263,0.914285714,1.285714286,1.8,6.4286,2
Will Harris,3192,HOU,34,125,1.3235,25,1,0,6,5,2,3,0,0,34,0.20661157,0.225806451,0.264462809,0.212080483,0.49026926,0.529411765,11.33333333,1.3235,0.823529412
Francisco Liriano,3201,PIT,19.2,87,1.3729,14,4,0,7,3,2,13,0,1,22,0.194444444,0.325581395,0.333333333,0.295298042,0.658914728,0.9375,1.692307692,1.3729,1.40625
