Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Fernando Rodney,494,2 Tms,23.1,102,6.1714,22,6,0,17,16,2,14,0,0,24,0.25,0.352941176,0.386363636,0.323702767,0.739304812,0.779220779,1.714285714,6.1714,1.558441558
Adam Ottavino,1247,NYY,45,186,1.4,28,6,1,9,7,2,25,0,1,67,0.177215189,0.291891891,0.265822784,0.255173997,0.557714675,0.4,2.68,1.4,1.177777778
Sean Doolittle,1581,WSN,39.2,180,4.7647,46,7,0,21,21,9,13,2,2,43,0.278787878,0.338888888,0.484848484,0.343215526,0.823737372,2.066326531,3.307692308,4.7647,1.505102041
Hector Rondon,2391,HOU,33.2,144,1.8713,32,6,0,7,7,4,11,0,0,27,0.244274809,0.3006993,0.381679389,0.292186916,0.682378689,1.084337349,2.454545455,1.8713,1.295180723
Kenley Jansen,3096,LAD,29,122,4.0345,25,4,1,14,13,4,7,0,3,41,0.229357798,0.286885245,0.394495412,0.287354444,0.681380657,1.24137931,5.857142857,4.0345,1.103448276
Tony Watson,3132,SFG,40,160,3.375,33,3,2,15,15,7,7,1,4,32,0.222972972,0.276729559,0.412162162,0.288387085,0.688891721,1.575,4.571428571,3.375,1
Will Harris,3192,HOU,26,104,1.7308,17,2,0,8,5,4,11,0,0,28,0.182795698,0.269230769,0.333333333,0.262984541,0.602564102,1.384615385,2.545454545,1.7308,1.076923077
Francisco Liriano,3201,PIT,50.1,214,4.2914,46,11,0,25,24,6,22,1,2,41,0.245989304,0.328638497,0.401069518,0.31214033,0.729708015,1.077844311,1.863636364,4.2914,1.357285429
T.J. McFarland,3237,ARI,25.1,119,5.6842,36,7,1,19,16,3,11,5,1,13,0.342857142,0.41025641,0.514285714,0.379155694,0.924542124,1.075697211,1.181818182,5.6842,1.87250996
Zack Britton,3240,NYY,44.2,178,2.2164,29,4,0,11,11,3,23,1,1,28,0.190789473,0.299435028,0.276315789,0.259785909,0.575750817,0.610859729,1.217391304,2.2164,1.176470588
Liam Hendriks,3548,OAK,45.2,163,0.7883,21,9,0,4,4,1,10,1,0,68,0.14,0.191358024,0.22,0.178061145,0.411358024,0.199115044,6.8,0.7883,0.685840708
Matt Magill,3950,2 Tms,30,133,4.5,28,7,1,20,15,4,9,1,2,44,0.231404958,0.295454545,0.404958677,0.295254301,0.700413222,1.2,4.888888889,4.5,1.233333333
Yusmeiro Petit,4020,OAK,48.1,176,2.2345,30,5,1,12,12,5,5,0,0,44,0.176470588,0.198863636,0.305882352,0.211841065,0.504745988,0.935550936,8.8,2.2345,0.727650728
Pedro Strop,4070,CHC,21.2,91,5.8154,18,5,0,15,14,4,8,0,4,28,0.23076923,0.329670329,0.448717948,0.330408248,0.778388277,1.698113208,3.5,5.8154,1.226415094
Derek Holland,4141,2 Tms,29.1,128,6.75,30,6,1,26,22,8,12,1,1,25,0.27027027,0.341269841,0.558558558,0.365614831,0.899828399,2.474226804,2.083333333,6.75,1.443298969
David Hernandez,4259,CIN,26,116,5.8846,27,4,2,17,17,2,14,2,0,25,0.272727272,0.356521739,0.414141414,0.323980814,0.770663153,0.692307692,1.785714286,5.8846,1.576923077
Mark Melancon,4264,2 Tms,41.2,178,3.888,44,5,0,18,18,4,9,1,2,43,0.26506024,0.308988764,0.367469879,0.289483094,0.676458643,0.873786408,4.777777778,3.888,1.286407767
Matt Albers,4300,MIL,43.2,178,3.0916,35,7,0,15,15,4,16,0,0,50,0.220125786,0.289772727,0.339622641,0.273807274,0.629395368,0.833333333,3.125,3.0916,1.180555556
Justin Wilson,4301,NYM,26.1,109,3.076,23,3,0,9,9,4,8,0,2,27,0.232323232,0.302752293,0.383838383,0.29617102,0.686590676,1.379310345,3.375,3.076,1.187739464
Tyler Chatwood,4338,CHC,34.2,135,2.8558,19,2,0,11,11,4,14,0,2,32,0.161016949,0.261194029,0.279661016,0.243275539,0.540855045,1.052631579,2.285714286,2.8558,0.964912281
Jake Diekman,5003,2 Tms,39,177,5.0769,30,6,1,24,22,3,23,1,8,63,0.209790209,0.346590909,0.328671328,0.302742633,0.675262237,0.692307692,2.739130435,5.0769,1.358974359
Jeurys Familia,5114,NYM,36.1,158,4.9541,33,11,0,21,20,4,23,2,2,40,0.2481203,0.367088607,0.421052631,0.338006396,0.788141238,0.997229917,1.739130435,4.9541,1.551246537
Wade LeBlanc,5221,SEA,66,276,4.0909,67,16,0,31,30,11,18,1,1,44,0.262745098,0.312727272,0.45490196,0.321314005,0.767629232,1.5,2.444444444,4.0909,1.287878788
Blake Parker,5224,2 Tms,33.1,135,5.13,26,4,0,19,19,9,10,0,2,40,0.213114754,0.281481481,0.467213114,0.310879652,0.748694595,2.447129909,4,5.13,1.087613293
Wilmer Font,5257,3 Tms,31,124,4.0645,26,7,0,14,14,5,6,0,2,31,0.226086956,0.274193548,0.417391304,0.290072827,0.691584852,1.451612903,5.166666667,4.0645,1.032258065
Jose Alvarez,5358,PHI,28.1,131,4.4471,40,6,0,15,14,4,11,3,0,29,0.336134453,0.389312977,0.487394957,0.364599247,0.876707934,1.28113879,2.636363636,4.4471,1.814946619
Pedro Baez,5420,LAD,35.1,147,3.566,22,2,0,16,14,4,15,0,3,40,0.171875,0.273972602,0.28125,0.250803113,0.555222602,1.025641026,2.666666667,3.566,1.054131054
Jesse Chavez,5448,TEX,28.1,122,4.1294,31,10,0,14,13,5,12,0,1,22,0.287037037,0.363636363,0.518518518,0.370089163,0.882154881,1.601423488,1.833333333,4.1294,1.53024911
Ryan Brasier,5615,BOS,32,130,3.9375,28,3,0,15,14,3,7,1,1,38,0.231404958,0.276923076,0.330578512,0.259387161,0.607501588,0.84375,5.428571429,3.9375,1.09375
Tyler Clippard,5640,CLE,27,114,3,24,9,0,9,9,5,7,0,3,32,0.233009708,0.300884955,0.466019417,0.321534869,0.766904372,1.666666667,4.571428571,3,1.148148148
Junior Guerra,5702,MIL,46.2,184,4.2429,35,7,0,22,22,8,9,0,2,45,0.205882352,0.252747252,0.388235294,0.269649263,0.640982546,1.558441558,5,4.2429,0.952380952
Kelvin Herrera,6033,CHW,31.2,142,5.9684,36,7,1,22,21,6,13,1,1,37,0.283464566,0.352112676,0.496062992,0.353311995,0.848175668,1.730769231,2.846153846,5.9684,1.570512821
Trevor Cahill,6249,LAA,28,133,4.8214,36,4,1,16,15,4,16,0,2,21,0.315789473,0.406015037,0.47368421,0.376814713,0.879699247,1.285714286,1.3125,4.8214,1.857142857
David Phelps,6316,2 Tms,22.2,96,3.5735,19,2,1,9,9,2,11,1,1,21,0.228915662,0.322916666,0.34939759,0.290927145,0.672314256,0.810810811,1.909090909,3.5735,1.351351351
Trevor May,6398,MIN,31,134,2.9032,20,3,0,12,10,3,19,1,2,42,0.181818181,0.305970149,0.29090909,0.266968689,0.596879239,0.870967742,2.210526316,2.9032,1.258064516
Jose Cisnero,6399,DET,21,90,3,18,3,1,9,7,3,8,0,1,24,0.227848101,0.303370786,0.405063291,0.301178295,0.708434077,1.285714286,3,3,1.238095238
Steve Cishek,6483,CHC,39.1,158,2.517,29,4,0,12,11,3,13,0,3,31,0.205673758,0.284810126,0.29787234,0.259165198,0.582682466,0.690537084,2.384615385,2.517,1.074168798
Blaine Hardy,6499,DET,30.1,123,4.4506,26,3,1,15,15,3,7,0,0,18,0.230088495,0.270491803,0.3539823,0.265182098,0.624474103,0.897009967,2.571428571,4.4506,1.096345515
Brad Brach,6627,2 Tms,39.1,156,3.8898,28,3,0,17,17,2,18,1,0,52,0.210526315,0.296774193,0.278195488,0.254967783,0.574969681,0.460358056,2.888888889,3.8898,1.176470588
Alex Colome,6661,CHW,33,139,3,23,4,2,17,11,4,15,0,1,25,0.191666666,0.282608695,0.358333333,0.275806957,0.640942028,1.090909091,1.666666667,3,1.151515152
